player;age;games;min;weight;height;points;a_field_goals;p_field_goals;p_efg;p_2points;a_3points;p_3points;prop_2p;prop_3p;a_free_throws;p_free_throws;p_true_shooting;oreb;dreb;reb;p_oreb;p_dreb;p_reb;assist;tov;steal;blocks;fauls;off_rtng;def_rtng;net_rtng;plus_minus;p_usage
Troy Brown Jr.;22;66;16;215;6,6;4.3;3.9;0.419;0.51;0.431;2;0.353;0.484;0.516;0.4;0.769;0.525;0.6;2.5;3.1;0.038;0.154;0.098;1;0.4;0.5;0.1;0.9;109.3;111.7;-2.3;-0.7;0.118
Ty Jerome;24;48;16.7;195;6,5;7.1;6.8;0.378;0.46;0.412;3.9;0.29;0.433;0.567;1;0.809;0.488;0.4;1.2;1.6;0.021;0.072;0.045;2.3;0.8;0.6;0.1;1.5;98.9;100.4;-1.5;-0.1;0.205
Tyler Cook;24;20;10;255;6,8;3.4;1.9;0.605;0.605;0.687;0;0;1;0;1.6;0.656;0.643;0.8;1.9;2.7;0.08;0.2;0.138;0.2;0.4;0.2;0.2;1.4;107.1;114.6;-7.5;-1.4;0.127
Tyler Hall;25;1;1.9;209;6,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;140;-100;-5;0
Tyler Herro;22;66;32.6;195;6,5;20.7;17;0.447;0.525;0.477;6.7;0.399;0.609;0.391;3.3;0.868;0.561;0.5;4.5;5;0.015;0.133;0.076;4;2.6;0.7;0.1;1.4;113.4;108.1;5.3;3.6;0.278
Tyler Johnson;30;6;15.2;186;6,3;2.8;3.3;0.3;0.425;0.118;2.2;0.385;0.35;0.65;0;0;0.425;0.5;1.5;2;0.029;0.1;0.062;1.2;0.3;0.5;0.5;1.2;111.9;113.8;-1.9;-1;0.1
Tyrell Terry;21;2;1.5;160;6,2;1;0.5;1;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.5;137.5;144.4;-6.9;-1;0.111
Tyrese Haliburton;22;77;35;185;6,5;15.3;11.8;0.473;0.562;0.456;5.1;0.414;0.572;0.428;2.5;0.842;0.595;0.8;3.2;4;0.022;0.093;0.056;8.2;2.6;1.7;0.6;1.6;110;115.9;-6;-4.2;0.184
Tyrese Maxey;21;75;35.3;200;6,2;17.5;13.3;0.485;0.552;0.535;4.1;0.427;0.689;0.311;3.3;0.866;0.594;0.3;2.9;3.2;0.01;0.08;0.046;4.3;1.2;0.7;0.4;2.1;113.3;109.7;3.6;2.6;0.199
Tyrone Wallace;28;6;12.5;198;6,5;2.8;3.3;0.35;0.4;0.588;1.3;0.25;0.6;0.4;0.8;0.2;0.383;0;1.3;1.3;0;0.133;0.06;0.2;0.3;0.5;0.2;1.2;111.5;121.4;-9.9;-3;0.13
Tyus Jones;26;73;21.2;196;6,0;8.7;7.6;0.451;0.524;0.535;2.8;0.39;0.629;0.371;0.9;0.818;0.544;0.2;2.2;2.4;0.01;0.097;0.052;4.4;0.6;0.9;0;0.4;113;105.5;7.6;3.5;0.164
Udoka Azubuike;22;17;11.5;270;7,0;4.7;2.9;0.755;0.755;0.925;0;0;1;0;0.6;0.545;0.743;1.1;3.1;4.2;0.093;0.233;0.169;0;0.7;0.1;0.6;1.5;107.8;105.8;2;0.2;0.143
Udonis Haslem;42;13;6.4;235;6,8;2.5;2.4;0.452;0.468;0.813;0.3;0.25;0.871;0.129;0.2;1;0.495;0.3;1.6;1.9;0.043;0.239;0.139;0.3;0.4;0.1;0.1;1.2;92.7;102.3;-9.5;-1.2;0.183
Usman Garuba;20;24;10;229;6,8;2;1.8;0.432;0.489;0.583;0.8;0.25;0.545;0.455;0.3;0.714;0.51;0.9;2.6;3.5;0.083;0.263;0.17;0.7;0.3;0.4;0.5;1.2;118.6;111.5;7;1.4;0.091
Vernon Carey Jr.;21;7;6.3;270;6,9;2.9;1.9;0.538;0.538;0.7;0;0;1;0;1.9;0.462;0.534;1.1;0.6;1.7;0.145;0.093;0.122;0;0.4;0.3;0.1;0.6;84.7;132.3;-47.6;-6.3;0.179
Victor Oladipo;30;8;21.6;213;6,4;12.4;9.1;0.479;0.582;0.404;4.5;0.417;0.507;0.493;2.4;0.737;0.608;0.4;2.5;2.9;0.017;0.11;0.065;3.5;2;0.6;0.1;1.6;103.3;104.7;-1.4;-0.6;0.247
Vit Krejci;22;30;23;195;6,8;6.2;5.6;0.407;0.503;0.385;3.3;0.327;0.413;0.587;0.7;0.864;0.529;0.6;2.8;3.4;0.024;0.121;0.07;1.9;1;0.6;0.3;2.2;103.3;116.1;-12.8;-6;0.125
Vlatko Cancar;25;15;11.8;236;6,8;4.1;2.7;0.561;0.646;0.516;0.8;0.583;0.707;0.293;0.9;0.643;0.657;0.5;1.5;2.1;0.041;0.133;0.085;1.1;0.6;0.1;0.2;1.2;104.9;104.1;0.8;0.3;0.131
Wayne Ellington;34;43;18.8;207;6,4;6.7;5.5;0.414;0.586;0.111;4.9;0.389;0.11;0.89;0.3;0.818;0.593;0.2;1.6;1.8;0.012;0.078;0.046;0.7;0.4;0.5;0.1;1;107.5;111.3;-3.8;-1.4;0.135
Wayne Selden;27;3;6.4;232;6,4;1.7;1.3;0.25;0.375;0;0.7;0.5;0.5;0.5;1.3;0.5;0.434;0;0.3;0.3;0;0.053;0.024;0.3;0;0;0;0.3;80.5;115;-34.5;-4.3;0.136
Wendell Carter Jr.;23;62;29.9;270;6,10;15;11;0.525;0.576;0.621;3.5;0.327;0.687;0.313;3.3;0.691;0.601;2.2;8.2;10.5;0.074;0.26;0.168;2.8;1.9;0.6;0.7;2.7;105.1;108.8;-3.7;-2.2;0.206
Wenyen Gabriel;25;26;13.8;205;6,9;5.4;4.2;0.491;0.527;0.652;1.1;0.286;0.745;0.255;1.6;0.595;0.549;1.5;2.2;3.7;0.105;0.151;0.128;0.5;0.6;0.2;0.4;2.6;118.1;111.4;6.7;1.7;0.165
Wes Iwundu;27;3;27.4;195;6,6;7.3;6;0.444;0.528;0.455;1.7;0.6;0.722;0.278;1.3;0.75;0.557;1;3.3;4.3;0.036;0.143;0.084;0;0.3;0.3;0;2.7;117;118.4;-1.4;0;0.111
Wesley Matthews;35;49;20.5;220;6,4;5.1;4.5;0.395;0.516;0.273;3.2;0.338;0.286;0.714;0.6;0.786;0.536;0.6;1.3;1.9;0.029;0.056;0.043;0.7;0.4;0.5;0.2;1.8;114.4;107.7;6.7;2.8;0.104
Will Barton;31;71;32.1;181;6,5;14.7;12.6;0.438;0.525;0.451;6.1;0.365;0.52;0.48;1.8;0.803;0.548;0.6;4.2;4.8;0.02;0.128;0.075;3.9;1.8;0.8;0.4;1.6;112.5;110.4;2;1.4;0.205
Willie Cauley-Stein;28;20;9.1;240;7,0;1.7;1.8;0.457;0.471;0.882;0.1;0.5;0.943;0.057;0.1;0.5;0.474;0.7;1.4;2;0.064;0.144;0.102;0.5;0.4;0.3;0.2;1;105.4;98.2;7.2;1.2;0.099
Willy Hernangomez;28;50;16.8;250;6,11;9.1;6.5;0.52;0.526;0.733;0.2;0.333;0.963;0.037;2.8;0.773;0.582;2.9;3.9;6.8;0.153;0.24;0.194;1.3;1;0.4;0.4;1.9;112.5;114.2;-1.6;-0.9;0.211
Xavier Moon;27;10;13.7;165;6,2;5.8;5.1;0.49;0.539;0.69;1.4;0.357;0.725;0.275;0.5;0.6;0.545;0.2;1.2;1.4;0.014;0.072;0.045;2.4;0.6;0.7;0.3;0.9;112.9;111.5;1.4;0.2;0.177
Xavier Sneed;24;9;4.3;215;6,5;0.6;1.1;0.2;0.25;0.4;0.9;0.125;0.2;0.8;0;0;0.25;0.2;0.4;0.7;0.041;0.111;0.071;0.1;0;0;0;0.2;93.8;97.6;-3.8;-0.7;0.109
Xavier Tillman Sr.;23;53;13.2;245;6,8;4.8;4.1;0.454;0.477;0.698;0.9;0.204;0.773;0.227;1.3;0.648;0.51;1.2;1.8;3;0.084;0.138;0.109;1.2;0.6;0.9;0.3;1.2;105;106.4;-1.4;-0.5;0.164
Yuta Watanabe;27;38;11.7;215;6,9;4.3;3.6;0.406;0.504;0.356;2.1;0.342;0.428;0.572;1.1;0.6;0.524;0.5;1.9;2.4;0.035;0.158;0.093;0.6;0.5;0.3;0.4;1;105.7;109.6;-3.9;-1.4;0.161
Yves Pons;23;12;5.9;206;6,5;1.1;1.3;0.313;0.406;0.308;0.8;0.333;0.438;0.563;0.2;0;0.385;0.4;0.6;1;0.055;0.082;0.068;0.1;0.1;0.1;0.3;0.5;85.3;106.5;-21.3;-2.5;0.096
Zach Collins;24;28;17.9;250;6,11;7.8;5.5;0.49;0.535;0.569;1.5;0.341;0.735;0.265;2.3;0.8;0.594;1.6;3.8;5.5;0.085;0.197;0.141;2.2;1.6;0.5;0.8;2.4;110.9;107.8;3.1;1.4;0.184
Zach LaVine;27;67;34.7;200;6,5;24.4;17.7;0.476;0.554;0.465;7.1;0.389;0.599;0.401;5.6;0.853;0.605;0.3;4.3;4.6;0.01;0.121;0.067;4.5;2.6;0.6;0.3;1.8;112.5;113.4;-0.9;-0.4;0.284
Zavier Simpson;25;4;43.5;190;6,0;11;13;0.365;0.375;0.818;2;0.125;0.846;0.154;1.3;1;0.406;0.5;4.8;5.3;0.01;0.114;0.058;7.5;2.5;1.3;1;3.8;98.6;125.1;-26.5;-23.8;0.158
Zeke Nnaji;21;41;17;240;6,9;6.6;4.5;0.516;0.616;0.437;2;0.463;0.57;0.43;1.6;0.631;0.629;1.4;2.2;3.6;0.077;0.141;0.107;0.4;0.6;0.4;0.3;1.9;107.2;110.4;-3.2;-1.1;0.146
Ziaire Williams;20;62;21.7;185;6,9;8.1;6.8;0.45;0.54;0.459;3.9;0.314;0.429;0.571;0.9;0.782;0.559;0.4;1.7;2.1;0.017;0.071;0.044;1;0.7;0.6;0.2;1.8;112.9;108.8;4.2;2;0.144
Zylan Cheatham;26;1;5.2;220;6,5;0;3;0;0;0;2;0;0.333;0.667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18.2;125;-106.8;-13;0.25
